iter	Passed	Remaining
0	1	180
1	3	164
2	4	157
3	5	143
4	7	142
5	8	140
6	10	138
7	12	138
8	13	138
9	15	136
10	16	134
11	18	132
12	19	130
13	20	128
14	22	127
15	24	126
16	25	124
17	27	123
18	28	120
19	29	118
20	31	117
21	32	115
22	34	114
23	35	113
24	37	112
25	38	110
26	40	109
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	100
33	50	98
34	52	97
35	53	95
36	55	93
37	56	92
38	58	90
39	59	89
40	61	87
41	61	85
42	63	83
43	64	82
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	68
53	78	67
54	79	65
55	81	64
56	82	62
57	84	61
58	85	59
59	87	58
60	88	56
61	90	55
62	91	53
63	93	52
64	94	51
65	96	49
66	97	48
67	99	46
68	101	45
69	102	43
70	103	42
71	105	40
72	106	39
73	108	38
74	109	36
75	111	35
76	112	33
77	114	32
78	115	30
79	117	29
80	118	27
81	120	26
82	121	24
83	123	23
84	124	22
85	126	20
86	127	19
87	129	17
88	130	16
89	132	14
90	133	13
91	135	11
92	136	10
93	138	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	146	0
