iter	RMSE
0	14.08219267
1	13.22546829
2	12.39680622
3	11.66242332
4	11.07633253
5	10.54338329
6	10.08012961
7	9.678469672
8	9.309185442
9	8.982328794
10	8.589492292
11	8.268490699
12	7.995195206
13	7.719809549
14	7.515652203
15	7.309332635
16	7.11473844
17	6.973046378
18	6.800769713
19	6.663413517
20	6.547078454
21	6.425376257
22	6.337498289
23	6.25162545
24	6.189910902
25	6.133048499
26	6.073729418
27	6.000701424
28	5.952982999
29	5.90561216
30	5.870461668
31	5.811230147
32	5.775581173
33	5.748085139
34	5.721607995
35	5.689382093
36	5.659184602
37	5.637577046
38	5.617274353
39	5.601186134
40	5.580203705
41	5.560441759
42	5.534021984
43	5.510269788
44	5.493313371
45	5.472333408
46	5.454714357
47	5.436871391
48	5.422623045
49	5.404991112
