iter	Passed	Remaining
0	125	6143
1	127	3048
2	128	2012
3	129	1489
4	130	1174
5	131	965
6	132	816
7	133	703
8	135	619
9	137	550
10	138	492
11	140	443
12	141	402
13	142	366
14	143	335
15	144	307
16	146	283
17	147	262
18	148	242
19	149	224
20	150	208
21	153	195
22	156	183
23	158	171
24	159	159
25	160	148
26	162	138
27	163	128
28	164	119
29	165	110
30	167	102
31	168	94
32	169	87
33	170	80
34	172	73
35	173	67
36	174	61
37	175	55
38	177	50
39	178	44
40	179	39
41	181	34
42	182	29
43	184	25
44	185	20
45	187	16
46	188	12
47	189	7
48	191	3
49	192	0
